A-Junior	A-Juniorin
Biertrinker	Biertrinkerin
Bierverleger	Bierverlegerin
Bieter	Bieterin
Bigamist	Bigamistin
Biker	Bikerin
Bilanzbuchhalter	Bilanzbuchhalterin
Bilanzprüfer	Bilanzprüferin
Bildautor	Bildautorin
Bildberichterstatter	Bildberichterstatterin
Bilderhändler	Bilderhändlerin
Bildersammler	Bildersammlerin
Bilderstürmer	Bilderstürmerin
Bildjournalist	Bildjournalistin
Bildmischer	Bildmischerin
Bildner	Bildnerin
Bildredakteur	Bildredakteurin
Bildreporter	Bildreporterin
Bildschirmarbeiter	Bildschirmarbeiterin
Bildschnitzer	Bildschnitzerin
Bildungsberater	Bildungsberaterin
Bildungsbürger	Bildungsbürgerin
Bildungsminister	Bildungsministerin
Bildungspolitiker	Bildungspolitikerin
Bildungssprecher	Bildungssprecherin
Billardspieler	Billardspielerin
Billiganbieter	Billiganbieterin
Billigstbieter	Billigstbieterin
Binder	Binderin
Binger	Bingerin
Binnenschiffer	Binnenschifferin
Biochemiker	Biochemikerin
Bioethiker	Bioethikerin
Biograf	Biografin
Biotechniker	Biotechnikerin
Bischofsvikar	Bischofsvikarin
Bittsteller	Bittstellerin
Bitzler	Bitzlerin
Bläser	Bläserin
Blasphemist	Blasphemistin
Blattmacher	Blattmacherin
Blaufahrer	Blaufahrerin
Blaukreuzler	Blaukreuzlerin
Blechbläser	Blechbläserin
Blechschlosser	Blechschlosserin
Blechschmied	Blechschmiedin
Blender	Blenderin
Blindenführer	Blindenführerin
Blindenlehrer	Blindenlehrerin
Blindspieler	Blindspielerin
Blitzmerker	Blitzmerkerin
Blockierer	Blockiererin
Blogger	Bloggerin
Bluffer	Blufferin
